"intervention","coefficients","ci.lower","ci.upper","Model","variables","seed"
"med_income",0.816128355758729,0.686883002302042,0.9696927873323,"OLS","Census",1000002
"percent_poverty",1.03760066441682,0.998255723177799,1.07849633495812,"OLS","Census",1000002
"med_age",0.992003399987006,0.989172267964111,0.994842635056045,"OLS","Census",1000002
"prop_white",0.967474624642412,0.95779758879997,0.977249431688073,"OLS","Census",1000002
"prop_belowCollege",1.03442090667338,1.01672518394527,1.05242461685751,"OLS","Census",1000002
"log10_popdense",0.983853995490271,0.936566931311076,1.03352857343269,"OLS","Census",1000002
"face_mask",0.898894313823071,0.870374452788734,0.928348695018027,"OLS","Intervention",1000002
"suspend_medical",0.973363145320152,0.941374543854792,1.00643874306174,"OLS","Intervention",1000002
"ban_nursing_home_visit",0.887909298680585,0.837202613903877,0.941687125183733,"OLS","Intervention",1000002
"earliest_date_school_closed",0.936922687743806,0.873536704832008,1.00490811428227,"OLS","Intervention",1000002
"daycare_close",0.860232677984686,0.791493229186829,0.934941996955516,"OLS","Intervention",1000002
"lv3_stay_home",0.896150582289673,0.869433972540348,0.923688159770927,"OLS","Intervention",1000002
"lifestyle_close",0.887529917521498,0.857310469003167,0.91881457532138,"OLS","Intervention",1000002
"log10_popsize",1.43094836876014,1.35764216368083,1.50821275946957,"GEE","Census",1000003
"med_income",0.756882556094104,0.642519820204631,0.891600828029081,"GEE","Census",1000003
"percent_poverty",1.05133298574655,1.01152214900828,1.09271067173608,"GEE","Census",1000003
"med_age",0.991415568878296,0.988490309676276,0.994349484858552,"GEE","Census",1000003
"prop_white",0.9600516383208,0.950987883570693,0.969201778661712,"GEE","Census",1000003
"prop_belowCollege",1.03805471251316,1.02026748502435,1.05615204050639,"GEE","Census",1000003
"log10_popdense",0.969813663170639,0.925130670665472,1.01665480466224,"GEE","Census",1000003
"face_mask",0.780059329031646,0.754437571458506,0.806551237411125,"GEE","Intervention",1000003
"suspend_medical",1.04189161329668,1.00620886700352,1.07883976126216,"GEE","Intervention",1000003
"ban_nursing_home_visit",0.72117227497122,0.676293604577505,0.769029082438353,"GEE","Intervention",1000003
"earliest_date_school_closed",0.650773038190354,0.594441730597031,0.712442490889988,"GEE","Intervention",1000003
"daycare_close",0.678180855992712,0.61388828090663,0.749206798272407,"GEE","Intervention",1000003
"lv3_stay_home",0.823345954410432,0.798776003940681,0.848671664270936,"GEE","Intervention",1000003
"lifestyle_close",0.843299005578871,0.813093194484087,0.874626940226138,"GEE","Intervention",1000003
"log10_popsize",1.33128399065081,1.26450023438719,1.40159488750277,"OLS","Census",1000003
"med_income",0.847502873778172,0.715870673774225,1.00333921667084,"OLS","Census",1000003
"percent_poverty",1.04392519762977,1.00519267806907,1.08415017540695,"OLS","Census",1000003
"med_age",0.992851864852273,0.99008947926092,0.995621957599712,"OLS","Census",1000003
"prop_white",0.972104479361087,0.96259713423025,0.981705726300086,"OLS","Census",1000003
"prop_belowCollege",1.03041093821296,1.01317035707619,1.04794489314996,"OLS","Census",1000003
"log10_popdense",0.979498169058442,0.93346657247163,1.0277997000455,"OLS","Census",1000003
"face_mask",0.888462524936312,0.860716351020712,0.917103128434946,"OLS","Intervention",1000003
"suspend_medical",0.995531937457028,0.963478019217524,1.02865225643844,"OLS","Intervention",1000003
"ban_nursing_home_visit",0.888546223629296,0.837826478471795,0.942336404748112,"OLS","Intervention",1000003
"earliest_date_school_closed",0.864855740948957,0.804794581245237,0.929399215753972,"OLS","Intervention",1000003
"daycare_close",0.773468808482822,0.712185103297452,0.840025991734298,"OLS","Intervention",1000003
"lv3_stay_home",0.884680188809894,0.858845264688515,0.911292253275173,"OLS","Intervention",1000003
"lifestyle_close",0.861518075778249,0.832813035442239,0.891212509057964,"OLS","Intervention",1000003
"log10_popsize",1.33910039599946,1.26983963934958,1.41213883627415,"GEE","Census",1000004
"med_income",0.810692175262334,0.688741620281647,0.954235643205092,"GEE","Census",1000004
"percent_poverty",1.06528295999153,1.02459756614613,1.10758391620702,"GEE","Census",1000004
"med_age",0.992776190983585,0.989777154956854,0.995784314123557,"GEE","Census",1000004
"prop_white",0.965354258813502,0.956392967814539,0.974399516068043,"GEE","Census",1000004
"prop_belowCollege",1.04379210123395,1.02618645171579,1.06169980004778,"GEE","Census",1000004
"log10_popdense",1.00993499032963,0.963154543852401,1.05898756456307,"GEE","Census",1000004
"face_mask",0.797617797949881,0.771400103007639,0.824726557756392,"GEE","Intervention",1000004
"suspend_medical",1.05790807150868,1.02185528265416,1.09523286394948,"GEE","Intervention",1000004
"ban_nursing_home_visit",0.695579108640135,0.650710644677906,0.743541388686049,"GEE","Intervention",1000004
"earliest_date_school_closed",0.692860214951297,0.631625093261707,0.760031991419714,"GEE","Intervention",1000004
"daycare_close",0.633826942903214,0.571727909409286,0.702670950531541,"GEE","Intervention",1000004
"lv3_stay_home",0.866959475248808,0.841130290687438,0.893581814904568,"GEE","Intervention",1000004
"lifestyle_close",0.860630763494775,0.829557951444748,0.892867472108043,"GEE","Intervention",1000004
"log10_popsize",1.2639559428159,1.20000203942851,1.33131825854268,"OLS","Census",1000004
"med_income",0.888730069367386,0.749493705073584,1.05383291527474,"OLS","Census",1000004
"percent_poverty",1.05297659507002,1.01356967981658,1.09391562498781,"OLS","Census",1000004
"med_age",0.993843223988681,0.991044133424304,0.996650220263533,"OLS","Census",1000004
"prop_white",0.974466487296159,0.964837017265005,0.984192063396444,"OLS","Census",1000004
"prop_belowCollege",1.03782962124218,1.02028313720789,1.05567786376952,"OLS","Census",1000004
"log10_popdense",1.01798063113436,0.969717459828603,1.06864587706596,"OLS","Census",1000004
"face_mask",0.888651704528837,0.860638691909029,0.91757651542522,"OLS","Intervention",1000004
"suspend_medical",1.01749121115646,0.984420979114139,1.05167239092393,"OLS","Intervention",1000004
"ban_nursing_home_visit",0.839862274321577,0.790906345544295,0.891848502420579,"OLS","Intervention",1000004
"earliest_date_school_closed",0.899100873435413,0.836685157033431,0.96617272795724,"OLS","Intervention",1000004
"daycare_close",0.704147692817371,0.646045312266065,0.767475537529832,"OLS","Intervention",1000004
"lv3_stay_home",0.904803577276775,0.878088057388559,0.93233190744853,"OLS","Intervention",1000004
"lifestyle_close",0.871921781064093,0.842536798720675,0.902331617382595,"OLS","Intervention",1000004
"log10_popsize",1.38621561636797,1.31611348258101,1.46005170564321,"GEE","Census",1000005
"med_income",0.750526952259206,0.640775151779489,0.879077012432808,"GEE","Census",1000005
"percent_poverty",1.04694318787319,1.00827169794871,1.08709789322069,"GEE","Census",1000005
"med_age",0.992201278390362,0.989368369664951,0.995042298727275,"GEE","Census",1000005
"prop_white",0.962662740678391,0.954025147696629,0.971378537062547,"GEE","Census",1000005
"prop_belowCollege",1.03321424131246,1.01619170680138,1.05052192544565,"GEE","Census",1000005
"log10_popdense",1.0106629854094,0.965110248412416,1.0583657895633,"GEE","Census",1000005
"face_mask",0.820649557426671,0.794193735745113,0.847986663446478,"GEE","Intervention",1000005
"suspend_medical",1.04170804674883,1.006667559629,1.07796823716182,"GEE","Intervention",1000005
"ban_nursing_home_visit",0.765524528596633,0.719142642751823,0.814897864546931,"GEE","Intervention",1000005
"earliest_date_school_closed",0.768562643616448,0.706505156906513,0.836071090760439,"GEE","Intervention",1000005
"daycare_close",0.746444279171373,0.675469289760777,0.82487697124617,"GEE","Intervention",1000005
"lv3_stay_home",0.849742663779071,0.82510942089527,0.875111320220888,"GEE","Intervention",1000005
"lifestyle_close",0.846831112436803,0.817622847157494,0.87708279616215,"GEE","Intervention",1000005
"log10_popsize",1.30824071077957,1.24325315487173,1.37662530807541,"OLS","Census",1000005
"med_income",0.818696712441652,0.692419107403159,0.968003770832554,"OLS","Census",1000005
"percent_poverty",1.03528739798176,0.997062248684436,1.07497801449613,"OLS","Census",1000005
"med_age",0.993320225638034,0.990570800221571,0.996077282351643,"OLS","Census",1000005
"prop_white",0.971314464426056,0.961886418827706,0.980834920148996,"OLS","Census",1000005
"prop_belowCollege",1.03081287541163,1.01366523736411,1.04825059097171,"OLS","Census",1000005
"log10_popdense",1.01538663933104,0.968197129229606,1.06487614578278,"OLS","Census",1000005
"face_mask",0.889175348062154,0.861751334431187,0.917472092019819,"OLS","Intervention",1000005
"suspend_medical",1.00694382069636,0.974714419043368,1.04023890303553,"OLS","Intervention",1000005
"ban_nursing_home_visit",0.885052854318285,0.835977275037783,0.937009388085985,"OLS","Intervention",1000005
"earliest_date_school_closed",0.926483396097218,0.867135167171247,0.989893520342391,"OLS","Intervention",1000005
"daycare_close",0.832662272779366,0.768917640287532,0.901691448060463,"OLS","Intervention",1000005
"lv3_stay_home",0.887351331471739,0.861533244200168,0.913943124963993,"OLS","Intervention",1000005
"lifestyle_close",0.860490448669489,0.832017920797595,0.88993733637565,"OLS","Intervention",1000005
"log10_popsize",1.43642467555304,1.36366784504924,1.51306335778795,"GEE","Census",1000006
"med_income",0.776809341439344,0.660344633778304,0.913814881018653,"GEE","Census",1000006
"percent_poverty",1.05965561745265,1.02003335069418,1.10081697508693,"GEE","Census",1000006
"med_age",0.992186225692294,0.98931042777058,0.995070383187963,"GEE","Census",1000006
"prop_white",0.963849084939923,0.955210737526038,0.972565552336249,"GEE","Census",1000006
"prop_belowCollege",1.03111985907208,1.01389468110851,1.04863767764359,"GEE","Census",1000006
"log10_popdense",0.966328622871957,0.922667447645693,1.01205587101214,"GEE","Census",1000006
"face_mask",0.805783455724247,0.779822027258899,0.832609178534203,"GEE","Intervention",1000006
"suspend_medical",1.01972842541769,0.985492114248874,1.05515411698388,"GEE","Intervention",1000006
"ban_nursing_home_visit",0.721021849446438,0.678045597622666,0.766722045245802,"GEE","Intervention",1000006
"earliest_date_school_closed",0.742278681849741,0.679840893189926,0.810450867324723,"GEE","Intervention",1000006
"daycare_close",0.660729038303001,0.602134105840151,0.725025966512355,"GEE","Intervention",1000006
"lv3_stay_home",0.845915750849064,0.821302529161736,0.871266594375262,"GEE","Intervention",1000006
"lifestyle_close",0.885707663182972,0.854748871005549,0.917787775136995,"GEE","Intervention",1000006
"log10_popsize",1.35638543679491,1.28890001821313,1.4274043193047,"OLS","Census",1000006
"med_income",0.844719896737429,0.714731931417266,0.998348713103061,"OLS","Census",1000006
"percent_poverty",1.04746472298525,1.00898947843639,1.08740712301465,"OLS","Census",1000006
"med_age",0.99348489616232,0.990741326059167,0.996236063785344,"OLS","Census",1000006
"prop_white",0.972609786732727,0.963180649185297,0.982131231611044,"OLS","Census",1000006
"prop_belowCollege",1.02743548736771,1.01038290475231,1.04477587233258,"OLS","Census",1000006
"log10_popdense",0.972625181555184,0.927335768279238,1.02012644842833,"OLS","Census",1000006
"face_mask",0.878638232974044,0.851535242562268,0.906603867763345,"OLS","Intervention",1000006
"suspend_medical",0.987431862707071,0.955946602166747,1.01995412848288,"OLS","Intervention",1000006
"ban_nursing_home_visit",0.841645344001239,0.794050735439254,0.892092725897557,"OLS","Intervention",1000006
"earliest_date_school_closed",0.887440615066874,0.826778189345395,0.952553968427515,"OLS","Intervention",1000006
"daycare_close",0.716680891539406,0.660889074979247,0.777182616180858,"OLS","Intervention",1000006
"lv3_stay_home",0.884018828829591,0.858491430832887,0.910305288623626,"OLS","Intervention",1000006
"lifestyle_close",0.894454919879865,0.864927965098533,0.924989867342483,"OLS","Intervention",1000006
"log10_popsize",1.41984864312288,1.34405933350098,1.49991158807456,"GEE","Census",1000007
"med_income",0.692255645318282,0.582869389710883,0.822170261356038,"GEE","Census",1000007
"percent_poverty",1.04941436085016,1.00767649973669,1.09288100004944,"GEE","Census",1000007
"med_age",0.992847674865474,0.989805910785607,0.995898786564522,"GEE","Census",1000007
"prop_white",0.960705181439176,0.95150154081766,0.969997846615101,"GEE","Census",1000007
"prop_belowCollege",1.02589756140907,1.00790772963797,1.04420848809554,"GEE","Census",1000007
"log10_popdense",0.970875875596256,0.924047325216285,1.02007758703719,"GEE","Census",1000007
"face_mask",0.783881867853395,0.757582726371157,0.811093972129829,"GEE","Intervention",1000007
"suspend_medical",0.992021675823626,0.957195804558535,1.02811462463293,"GEE","Intervention",1000007
"ban_nursing_home_visit",0.724827763281587,0.677812170208928,0.775104534139374,"GEE","Intervention",1000007
"earliest_date_school_closed",0.752808592507355,0.689434832120855,0.822007752653787,"GEE","Intervention",1000007
"daycare_close",0.627354586194836,0.563950259491409,0.697887393782979,"GEE","Intervention",1000007
"lv3_stay_home",0.793496472256229,0.769032298067672,0.818738891806173,"GEE","Intervention",1000007
"lifestyle_close",0.845502151788299,0.814777309145177,0.877385612798488,"GEE","Intervention",1000007
"log10_popsize",1.32475231802326,1.25657018302544,1.39663405022279,"OLS","Census",1000007
"med_income",0.766264486321896,0.644547159121064,0.910967110302433,"OLS","Census",1000007
"percent_poverty",1.03405285958198,0.994709146668487,1.07495273366178,"OLS","Census",1000007
"med_age",0.99377509561945,0.990935463770923,0.996622864737586,"OLS","Census",1000007
"prop_white",0.971917962523267,0.962176673463991,0.981757874543537,"OLS","Census",1000007
"prop_belowCollege",1.01997252838797,1.00247275213813,1.03777779141353,"OLS","Census",1000007
"log10_popdense",0.982858679828782,0.935532272152147,1.03257922069595,"OLS","Census",1000007
"face_mask",0.882073112442889,0.853908375797175,0.911166815723438,"OLS","Intervention",1000007
"suspend_medical",0.949806010357391,0.91848477044775,0.982195335553846,"OLS","Intervention",1000007
"ban_nursing_home_visit",0.896212203194966,0.843911283405641,0.951754442616576,"OLS","Intervention",1000007
"earliest_date_school_closed",0.905883985101266,0.843967277822307,0.972343141763051,"OLS","Intervention",1000007
"daycare_close",0.712091472075287,0.655139538600671,0.77399429392618,"OLS","Intervention",1000007
"lv3_stay_home",0.867205122569684,0.841166523703075,0.894049755214184,"OLS","Intervention",1000007
"lifestyle_close",0.857443489861997,0.828169217260973,0.887752554650968,"OLS","Intervention",1000007
"log10_popsize",1.53746031102886,1.45702770380508,1.62233305641056,"GEE","Census",1000008
"med_income",0.712958109765534,0.601133885678439,0.845584117599303,"GEE","Census",1000008
"percent_poverty",1.03325912460256,0.993120209282959,1.0750203334854,"GEE","Census",1000008
"med_age",0.991319166305654,0.988314746135921,0.994332719740465,"GEE","Census",1000008
"prop_white",0.953134865372711,0.9443212746211,0.962030715609546,"GEE","Census",1000008
"prop_belowCollege",1.03315395562161,1.0153998742831,1.05121846382953,"GEE","Census",1000008
"log10_popdense",0.959277195526228,0.914820439123683,1.00589437938023,"GEE","Census",1000008
"face_mask",0.842890392113868,0.815279027078443,0.871436881755468,"GEE","Intervention",1000008
"suspend_medical",0.986023728157082,0.952185527826932,1.02106445023128,"GEE","Intervention",1000008
"ban_nursing_home_visit",0.774867032209089,0.730929394537292,0.821445849752165,"GEE","Intervention",1000008
"earliest_date_school_closed",0.817586543348918,0.754137443497073,0.88637391185023,"GEE","Intervention",1000008
"daycare_close",0.692003839182679,0.631908168659759,0.75781472244491,"GEE","Intervention",1000008
"lv3_stay_home",0.840858896475086,0.815758150708921,0.866731988110515,"GEE","Intervention",1000008
"lifestyle_close",0.874046738460878,0.842414292157586,0.906866975223621,"GEE","Intervention",1000008
"log10_popsize",1.41925996484682,1.34575551421175,1.49677918949255,"OLS","Census",1000008
"med_income",0.793676593353496,0.666958491735183,0.94447037205926,"OLS","Census",1000008
"percent_poverty",1.03138692967377,0.99203854529367,1.07229603501646,"OLS","Census",1000008
"med_age",0.993010388356907,0.99015201680714,0.995877011455707,"OLS","Census",1000008
"prop_white",0.965428373050299,0.955693656121125,0.975262248023564,"OLS","Census",1000008
"prop_belowCollege",1.02809130586251,1.01031408521071,1.04618132980859,"OLS","Census",1000008
"log10_popdense",0.966470905083385,0.91964285902889,1.01568342667178,"OLS","Census",1000008
"face_mask",0.902518169627652,0.873593161062245,0.932400896451169,"OLS","Intervention",1000008
"suspend_medical",0.967173273333495,0.935113198201269,1.00033251851215,"OLS","Intervention",1000008
"ban_nursing_home_visit",0.864219084968056,0.81245197539715,0.919284646280699,"OLS","Intervention",1000008
"earliest_date_school_closed",0.962026166979429,0.891828083243158,1.03774972255588,"OLS","Intervention",1000008
"daycare_close",0.735103572820853,0.673063637451104,0.802862066387058,"OLS","Intervention",1000008
"lv3_stay_home",0.877000461904424,0.850597071374821,0.904223440291687,"OLS","Intervention",1000008
"lifestyle_close",0.890616376306785,0.859971332830198,0.922353454661548,"OLS","Intervention",1000008
"log10_popsize",1.46703575509783,1.38857697826688,1.54992768886438,"GEE","Census",1000009
"med_income",0.750652726506999,0.637065047633915,0.884492906815681,"GEE","Census",1000009
"percent_poverty",1.02792610891827,0.989781829714809,1.06754039493764,"GEE","Census",1000009
"med_age",0.988227715434641,0.985308428894524,0.991155651280553,"GEE","Census",1000009
"prop_white",0.956616726078056,0.947908527427988,0.965404924771941,"GEE","Census",1000009
"prop_belowCollege",1.0396096838217,1.02207057508135,1.05744977014902,"GEE","Census",1000009
"log10_popdense",0.970166054342183,0.924364944917618,1.01823655058854,"GEE","Census",1000009
"face_mask",0.77543289834456,0.750060711956485,0.80166334571318,"GEE","Intervention",1000009
"suspend_medical",1.00615428802802,0.972258964266561,1.04123128561828,"GEE","Intervention",1000009
"ban_nursing_home_visit",0.755420694692946,0.710661418960511,0.802999024211954,"GEE","Intervention",1000009
"earliest_date_school_closed",0.793451181001129,0.727080857149321,0.865880005561462,"GEE","Intervention",1000009
"daycare_close",0.619564127805349,0.56430779218361,0.680231096894557,"GEE","Intervention",1000009
"lv3_stay_home",0.86687365787433,0.840991237469565,0.893552637929376,"GEE","Intervention",1000009
"lifestyle_close",0.853391160179427,0.822390518326001,0.885560395023542,"GEE","Intervention",1000009
"log10_popsize",1.3537721887594,1.28576479987215,1.42537666238853,"OLS","Census",1000009
"med_income",0.837296367887174,0.707251996206406,0.991252356214564,"OLS","Census",1000009
"percent_poverty",1.02308167960888,0.985163046197902,1.06245978997173,"OLS","Census",1000009
"med_age",0.990436924621624,0.987671404221097,0.993210188592588,"OLS","Census",1000009
"prop_white",0.968114599287252,0.958647109066661,0.977675589368459,"OLS","Census",1000009
"prop_belowCollege",1.03127373778114,1.01400051747408,1.04884120265181,"OLS","Census",1000009
"log10_popdense",0.975681087942612,0.929877727109632,1.02374060332412,"OLS","Census",1000009
"face_mask",0.868135011563069,0.841015800437059,0.896128702825737,"OLS","Intervention",1000009
"suspend_medical",0.9832437436156,0.951616103190499,1.01592255124511,"OLS","Intervention",1000009
"ban_nursing_home_visit",0.896620835365449,0.845034764213535,0.95135603463562,"OLS","Intervention",1000009
"earliest_date_school_closed",0.918430973504301,0.853106493784443,0.988757510624684,"OLS","Intervention",1000009
"daycare_close",0.710092635384117,0.652717362272808,0.772511319556432,"OLS","Intervention",1000009
"lv3_stay_home",0.922044668842016,0.895193777553364,0.949700939235251,"OLS","Intervention",1000009
"lifestyle_close",0.86073298392661,0.832151045194373,0.890296628115339,"OLS","Intervention",1000009
"log10_popsize",1.46007473770528,1.3839952147097,1.54033642387435,"GEE","Census",1000010
"med_income",0.706568185678959,0.599629363952992,0.832578641116703,"GEE","Census",1000010
"percent_poverty",1.03249139794439,0.993800073113774,1.07268908070116,"GEE","Census",1000010
"med_age",0.991675191381191,0.98872943394561,0.994629725218658,"GEE","Census",1000010
"prop_white",0.955925148487509,0.947326051019321,0.96460230195045,"GEE","Census",1000010
"prop_belowCollege",1.03135366927347,1.01401309253067,1.04899078617337,"GEE","Census",1000010
"log10_popdense",0.941527838575092,0.897785257981634,0.987401678665144,"GEE","Census",1000010
"face_mask",0.830167015310297,0.803210452715583,0.858028267659067,"GEE","Intervention",1000010
"suspend_medical",1.04010055123775,1.0048363409566,1.07660234069082,"GEE","Intervention",1000010
"ban_nursing_home_visit",0.751687493061377,0.707985091681859,0.798087549954798,"GEE","Intervention",1000010
"earliest_date_school_closed",0.664701273343734,0.612651381175221,0.721173242011212,"GEE","Intervention",1000010
"daycare_close",0.725105017389307,0.655752644315838,0.801792094626934,"GEE","Intervention",1000010
"lv3_stay_home",0.857233783045401,0.831962270900858,0.883272937363646,"GEE","Intervention",1000010
"lifestyle_close",0.825696152904856,0.796230395452087,0.856252337032145,"GEE","Intervention",1000010
"log10_popsize",1.35780421548513,1.28986993627018,1.42931642621293,"OLS","Census",1000010
"med_income",0.786938347453984,0.664970994335591,0.931276654122871,"OLS","Census",1000010
"percent_poverty",1.02455975187062,0.986592659599258,1.06398793356072,"OLS","Census",1000010
"med_age",0.992911649543733,0.990145366479126,0.995685661091705,"OLS","Census",1000010
"prop_white",0.966284695157931,0.956843830654141,0.975818709577855,"OLS","Census",1000010
"prop_belowCollege",1.02656776165658,1.00938612516204,1.04404186168443,"OLS","Census",1000010
"log10_popdense",0.960909296676593,0.915945634367897,1.008080219823,"OLS","Census",1000010
"face_mask",0.917962870397257,0.889383228564763,0.947460896904702,"OLS","Intervention",1000010
"suspend_medical",1.0003804792372,0.968147945106249,1.03368613061408,"OLS","Intervention",1000010
"ban_nursing_home_visit",0.891032023960857,0.840768536808829,0.944300402506979,"OLS","Intervention",1000010
"earliest_date_school_closed",0.806494367942383,0.753035445846604,0.863748405351002,"OLS","Intervention",1000010
"daycare_close",0.793902334054065,0.730752433049573,0.862509500496915,"OLS","Intervention",1000010
"lv3_stay_home",0.915212930143141,0.888396582588003,0.942838732068424,"OLS","Intervention",1000010
"lifestyle_close",0.842596161663119,0.814527423654046,0.871632152622237,"OLS","Intervention",1000010
"log10_popsize",1.41203834109887,1.34068002943264,1.48719473174895,"GEE","Census",1000011
"med_income",0.765806702746704,0.652202185394463,0.899199541346336,"GEE","Census",1000011
"percent_poverty",1.0316490398484,0.99427357224138,1.07042947849945,"GEE","Census",1000011
"med_age",0.991153978352726,0.988298675561397,0.994017530425605,"GEE","Census",1000011
"prop_white",0.960341324063924,0.951825620187578,0.968933215438243,"GEE","Census",1000011
"prop_belowCollege",1.03598189591284,1.01896698055278,1.05328092974801,"GEE","Census",1000011
"log10_popdense",0.96974114891552,0.925902155023578,1.01565580207127,"GEE","Census",1000011
"face_mask",0.844162823320722,0.817343576896667,0.871862081528175,"GEE","Intervention",1000011
"suspend_medical",1.03973596465394,1.0050710764356,1.07559644441139,"GEE","Intervention",1000011
"ban_nursing_home_visit",0.787801750352469,0.74097872615815,0.837583558000761,"GEE","Intervention",1000011
"earliest_date_school_closed",0.70443082780809,0.64564944313097,0.768563802610967,"GEE","Intervention",1000011
"daycare_close",0.774185561620554,0.699110928629981,0.857322149142024,"GEE","Intervention",1000011
"lv3_stay_home",0.880432664528752,0.85502006315711,0.90660057017488,"GEE","Intervention",1000011
"lifestyle_close",0.829843513135665,0.801496875495397,0.859192689762765,"GEE","Intervention",1000011
"log10_popsize",1.32950183806238,1.26398070117842,1.39841940289383,"OLS","Census",1000011
"med_income",0.826373975322834,0.700297535512992,0.975148294061354,"OLS","Census",1000011
"percent_poverty",1.02720331597791,0.989795101549843,1.0660253326207,"OLS","Census",1000011
"med_age",0.99244432588273,0.989730942389967,0.995165148215347,"OLS","Census",1000011
"prop_white",0.969540895033082,0.960229799022245,0.978942278294962,"OLS","Census",1000011
"prop_belowCollege",1.03079406464775,1.01384045361571,1.04803117682241,"OLS","Census",1000011
"log10_popdense",0.981372288610514,0.936184923689936,1.0287407375208,"OLS","Census",1000011
"face_mask",0.912374729111839,0.884448443117528,0.941182782105125,"OLS","Intervention",1000011
"suspend_medical",1.0145786042892,0.982501817635559,1.0477026360711,"OLS","Intervention",1000011
"ban_nursing_home_visit",0.903259551111184,0.85254720099897,0.956988440895208,"OLS","Intervention",1000011
"earliest_date_school_closed",0.818761542933973,0.76231635199306,0.879386179287575,"OLS","Intervention",1000011
"daycare_close",0.860240668440767,0.79347806180795,0.932620627157966,"OLS","Intervention",1000011
"lv3_stay_home",0.917010154643657,0.890765653303585,0.944027893981888,"OLS","Intervention",1000011
"lifestyle_close",0.846291730821779,0.818623276150745,0.874895345054222,"OLS","Intervention",1000011
